Filename,Verdict,Ref#,Title,Status,EffectiveStatus,FpReason,Source,Retracted,Authors,FoundAuthors,PaperURL,DOI,ArxivID,FailedDBs
post.zip/PMC9814324.pdf,,1,Prospects for combining targeted and conventional cancer therapy with immunotherapy,verified,verified,,OpenAlex,false,Gotwals P; Cameron S; Cipolletta D; Cremasco V; Crystal A; Hewes B,Philip J. Gotwals; Scott B. Cameron; Daniela Cipolletta; Viviana Cremasco; Adam Crystal; Becker Hewes; Britta Mueller; Sonia Quaratino; Catherine Sabatos-Peyton; Lilli Petruzzelli; Jeffrey A. Engelman; Glenn Dranoff,https://doi.org/10.1038/nrc.2017.17,,,
post.zip/PMC9814324.pdf,,2,A paradigm shift in cancer immunotherapy: from enhancement to normalization,verified,verified,,OpenAlex,false,Sanmamed M; Chen LJC,Miguel F. Sanmamed; Lieping Chen,https://doi.org/10.1016/j.cell.2018.09.035,,,
post.zip/PMC9814324.pdf,,3,Oncology meets immunology: the cancer-immunity cycle,verified,verified,,Semantic Scholar,false,Chen D,Daniel S. Chen; I. Mellman,https://www.semanticscholar.org/paper/c74980f43619e945246649ea1fdbe3f8d0a63656,,,
post.zip/PMC9814324.pdf,,4,Diagnosis and management of pulmo‑ nary toxicity associated with cancer immunotherapy,verified,verified,,Semantic Scholar,false,Rashdan S; Minna JD; Gerber DE,S. Rashdan; J. Minna; D. Gerber,https://www.semanticscholar.org/paper/b8b80540f00607c83f7c5f4ce452e34d4485b6c4,,,
post.zip/PMC9814324.pdf,,5,Fatal toxic effects associated with immune checkpoint inhibitors,verified,verified,,Europe PMC,false,Wang DY; Salem J-E; Cohen JV; Chandra S; Menzer C; Ye F,Wang DY; Salem JE; Cohen JV; Chandra S; Menzer C; Ye F; Zhao S; Das S; Beckermann KE; Ha L; Rathmell WK; Ancell KK; Balko JM; Bowman C; Davis EJ; Chism DD; Horn L; Long GV; Carlino MS; Lebrun-Vignes B; Eroglu Z; Hassel JC; Menzies AM; Sosman JA; Sullivan RJ; Moslehi JJ; Johnson DB.,https://doi.org/10.1001/jamaoncol.2018.3923,,,
post.zip/PMC9814324.pdf,,6,Knowledge gaps and research priorities in immune checkpoint inhibi‑ tor–related pneumonitis,verified,verified,,CrossRef,false,Sears CR; Peikert T; Possick JD; Naidoo J; Nishino M; Patel SP,Catherine R. Sears; Tobias Peikert; Jennifer D. Possick; Jarushka Naidoo; Mizuki Nishino; Sandip P. Patel; Philippe Camus; Mina Gaga; Edward B. Garon; Michael K. Gould; Andrew H. Limper; Philippe R. Montgrain; William D. Travis; M. Patricia Rivera,https://doi.org/10.1164/rccm.201906-1202st,,,
post.zip/PMC9814324.pdf,,7,Anti-PD-1-related pneumonitis during cancer immunotherapy,verified,verified,,Semantic Scholar,false,Nishino M; Sholl LM; Hodi FS; Hatabu H; Ramaiya NH,M. Nishino; L. Sholl; Hodi Fs; H. Hatabu; N. Ramaiya,https://www.semanticscholar.org/paper/d8273f9b3d139d6495a7f22c07c247c7a95b55bd,,,
post.zip/PMC9814324.pdf,,8,Incidence of programmed cell death 1 inhibitor–related pneumonitis in patients with advanced cancer,verified,verified,,CrossRef,false,Nishino M; Giobbie-Hurder A; Hatabu H; Ramaiya NH; Hodi FS,Mizuki Nishino; Anita Giobbie-Hurder; Hiroto Hatabu; Nikhil H. Ramaiya; F. Stephen Hodi,https://doi.org/10.1001/jamaoncol.2016.2453,,,
post.zip/PMC9814324.pdf,,9,Assessment of immune-related interstitial lung disease in patients with NSCLC treated with immune checkpoint inhibitors: a multicenter prospective study,verified,verified,,CrossRef,false,Suzuki Y; Karayama M; Uto T; Fujii M; Matsui T; Asada K,Yuzo Suzuki; Masato Karayama; Tomohiro Uto; Masato Fujii; Takashi Matsui; Kazuhiro Asada; Hideki Kusagaya; Masato Kato; Hiroyuki Matsuda; Shun Matsuura; Mikio Toyoshima; Kazutaka Mori; Yasuhiro Ito; Takafumi Koyauchi; Hideki Yasui; Hironao Hozumi; Kazuki Furuhashi; Noriyuki Enomoto; Tomoyuki Fujisawa; Yutaro Nakamura; Naoki Inui; Takafumi Suda,https://doi.org/10.1016/j.jtho.2020.04.002,,,
post.zip/PMC9814324.pdf,,10,Increased reporting of fatal pneumonitis associated with immune checkpoint inhibitors: a WHO pharmacovigilance database analysis,verified,verified,,CrossRef,false,Moey MYY; Gougis P; Goldschmidt V; Johnson DB; Lebrun-Vignes B; Moslehi J,Melissa Y.Y. Moey; Paul Gougis; Vincent Goldschmidt; Douglas B. Johnson; Bénédicte Lebrun-Vignes; Javid Moslehi; Jacques Cadranel; Joe-Elie Salem,https://doi.org/10.1183/13993003.00038-2020,,,
