Paper,Filename,RefIndex,RefNum,PredictedStatus,RawCitation,ReviewCategory,ReviewNote
"PMC9898905.pdf","post.zip/PMC9898905.pdf","26","27","not_found","Larsson SC, Traylor M, Malik R, Dichgans M, Burgess S, Markus HS. CoStream consortium obotIGoAsP: modifiable pathways in Alzheimer’s disease: Mendelian randomisation analysis. BMJ. 2017;359:j5375.","Reference generator format mistake","really weird abbreaviation obotIGoAsP"
"PMC10391745.pdf","post.zip/PMC10391745.pdf","10","11","not_found","Westbrook D, Kennerley HJK. An introduction to cognitive behaviour therapy: skills and applications. An introduction to cognitive behaviour therapy: skills and applications. London, UK: SAGE Publications; 2008.","Reference generator format mistake","title is repeated and author section is wrong"
"PMC10588186.pdf","post.zip/PMC10588186.pdf","23","24","not_found","Qin S, Chan S, Gu S, Bai Y, Ren Z, Lin X, et al. Camrelizumab plus rivocer‑ anib vs. sorafenib as first-line therapy for unresectable hepatocellular carcinoma. ESMO 2022. 2022;33(7):S808-69.","Missing part of title/reference","missing the rest of the title"
"PMC10626685.pdf","post.zip/PMC10626685.pdf","25","26","not_found","Giroux É. Naturalism in the philosophy of health: issues and implications. Dodrecht: Springer; 2016.","Typo","Dodrecht should be Dordrecht"
"PMC10626685.pdf","post.zip/PMC10626685.pdf","26","27","not_found","World Health Organizatoin. Preamble to the Constitution of the World Health Organization. Geneva: World Health Organizatoin; 1946.","Typo","Organizatoin"
"PMC10626685.pdf","post.zip/PMC10626685.pdf","44","45","not_found","Kant I. Anthropologie. Göttingen: Akademie Ausgabe; 1798.","Paper not found","year or title may be wrong"
"PMC10644438.pdf","post.zip/PMC10644438.pdf","8","9","not_found","Zhang Q, Wang Y, Trends in the association between obesity and socioeconomic status in U.S. adults,. to 2000. Obes Res. 1971;2004(12):1622–32.","Missing part of title/reference","missing 1971 before to 2000"
"PMC11035142.pdf","post.zip/PMC11035142.pdf","22","23","not_found","National Board of Health and Welfare. valuation of diagnostic quality for acute myocardial infarction in the Swedish Inpatient Registry 1987 and 1995 [in Swedish]. Stockholm, Sweden: Epidemiologiskt Centrum, Socialstyrelsen; 2000.","Typo","valuation and epidemiologiskt. And can't find paper since it may be translated"
"PMC11188177.pdf","post.zip/PMC11188177.pdf","5","6","not_found","Chen GF, Xu TH, Yan Y, Zhou YR, Jiang Y, Melcher K, et al. Amyloid-β (1–42) beta: structure, biology and structure-based therapeutic development. Acta Pharmacol Sin. 2017;38(9):1205–35.","Typo","Beta repeated when in the title it is not"
"PMC11188177.pdf","post.zip/PMC11188177.pdf","7","8","not_found","Hampel H, Hardy J, Blennow K, Chen C, Perry G, Kim SH, et al. The amyloid-β (1–42)-β pathway in Alzheimer’s disease. Mol Psychiatry. 2021;26(10):5481–503.","Typo","Beta repeated when in the title it is not"
"PMC11188177.pdf","post.zip/PMC11188177.pdf","9","10","not_found","Gu L, Guo Z. Alzheimer’s Aβ42 and Aβ40 peptides form interlaced Amyloid-β (1–42) fibrils. J Neurochem. 2013;126(3):305–11.","Typo","(1-42) is not in the paper title"
"PMC11188177.pdf","post.zip/PMC11188177.pdf","59","60","not_found","Yuyama K, Igarashi Y. Exosomes as carriers of Alzheimer’s amyloid-β (1–42)-ß. Front Neurosci. 2017;11:00229.","Typo","Beta repeated when in the title it is not"
"PMC11345970.pdf","post.zip/PMC11345970.pdf","12","13","not_found","Mattiuzzo DH, M. Australia Online Grocery Report 2022: Essential Insights into Australian Online Food Retailing: 2022 and Beyond. Spryker; 2022.","Author mistake","Can't find this author"
"PMC11367775.pdf","post.zip/PMC11367775.pdf","2","3","not_found","European Medicines Agency Committee for Medicinal Products for Human Use. 2 to the Guideline on the Evaluation of Anticancer Medicinal Products in Man: The Use of Patient-Reported Outcome (PRO) Measures in Oncology Studies EMA/CHMP/292464/2014. London, England: European Medicines Agency; 2016.","Missing part of title/reference","Missing Appendix before 2"
"PMC11580671.pdf","post.zip/PMC11580671.pdf","15","16","not_found","He FF, Wang SM, Zheng RS, Gu JH, Zeng HM, Sun KX, Trends of gastric cancer burdens attributable to risk factors in China from, et al. to 2050. Lancet Regional Health-Western Pacific. 2000;2024:44.","Reference generator format mistake","title and the rest of author section are mixed"
"PMC11846311.pdf","post.zip/PMC11846311.pdf","27","28","not_found","Wilcken N, Zdenkowski N, White M, Snyder R, Pittman K, Mainwaring P, et al. Systemic treatment of HER2-overexpression metastatic breast cancer: A systematic review. Asia Pac J Clin Oncol. 2014;10 Suppl S4:1–14.","Typo","not overexpression, it is positive"
"PMC12016352.pdf","post.zip/PMC12016352.pdf","38","39","not_found","National Health Security Office (NHSO). NHSB gives nod to reimbursement payment for kidney patients opting for HD. 2022.","Paper not found","It is an announcement, not a paper"
"PMC12016352.pdf","post.zip/PMC12016352.pdf","46","47","not_found","Learning Committee on Dialysis Policy in Thailand. Comparing Thai UHC’s kidney dialysis policies issued in 2008 and 2022 . Nonthaburi: Health Intervention and Technology Assessment Program (HITAP); 2023.","Missing part of title/reference","Can't find the exact title"
"PMC12121138.pdf","post.zip/PMC12121138.pdf","28","29","not_found","consortium M-I. The MRC-IEU Open GWAS project: data-sharing resources and workshop. 2017 BMC Research Notes. 2018;11(1):563.","Missing part of title/reference","Author is wrong and title seems to be different that the actual paper it resembles"
"PMC12121219.pdf","post.zip/PMC12121219.pdf","13","14","not_found","World Health Orgazniation. Global Youth Tobacco Survey Pakistan 2013. 2014.","Typo","Orgazniation"
