Paper,Filename,RefIndex,RefNum,PredictedStatus,RawCitation,ReviewCategory,ReviewNote
"PMC6376798.pdf","pre.zip/PMC6376798.pdf","96","97","not_found","Bond V, Chase E, Aggleton P, Stigma HIV. AIDS and prevention of mother-to-child transmission in Zambia. Eval Program Planning. 2002;25(4):347–56.","Typo",". should be /"
"PMC6394073.pdf","pre.zip/PMC6394073.pdf","34","35","not_found","Stanmore EK, Skelton DA, Todd C. Acceptability and usability of Exergames designed to improve function in older people. The Gerontologist. 2015; 55(Suppl 2):772–3.","Missing part of title/reference","missing part of title"
"PMC6394073.pdf","pre.zip/PMC6394073.pdf","70","71","not_found","Rothman, K. J., and J. D. Boice, Jr. 1982. Epidemiologic analysis with a programmable calculator. Brookline, MA: epidemiology resources”. For the IRR estimation and “Greenland, S., and J. M. Robins. 1985. Estimation of a common effect parameter from sparse follow-up data. Biometrics 41: 55–68.","Reference generator format mistake","wrong year"
"PMC6429790.pdf","pre.zip/PMC6429790.pdf","10","11","not_found","Katherine JH, Natalie S, Julia A-H. End-of-life care and achieving preferences for place of death in England: results of a population-based survey using the VOICES-SF questionnaire. Palliat Med. 2013;28(5):412–21. https://doi.org/ 10.1177/0269216313512012.","Author mistake","by A Reece, not these authors"
"PMC6436239.pdf","pre.zip/PMC6436239.pdf","78","79","not_found","Mackey TK. Prevalence of falsified and substandard medicines: still an incomplete picture. JAMA Netw Open. 2018;1(4):e181685. https://doi.org/10. 1001/jamanetworkopen.2018.1685.","Missing part of title/reference","title is incorrect"
"PMC6505277.pdf","pre.zip/PMC6505277.pdf","10","11","not_found","Wensing M, Grol R. Implementatie: Effectieve verandering in de patiëntenzorg. Zevende Druk. [effective change in patient care. 7th edition.] Houten: Boom Stafleu Van Loghum, 2017.","Missing part of title/reference","title is incorrect"
"PMC6712663.pdf","pre.zip/PMC6712663.pdf","16","17","not_found","Briscoe J. Intervention studies and the defintiion of dominant transmission routes. Am J Epidemiol. 1984;120(3):449–56.","Typo","double i"
"PMC6907114.pdf","pre.zip/PMC6907114.pdf","3","4","not_found","van der Veen N, Carpay M, van Delden J, Grievink L, B. H, Lock A, Salverda J: Feasibility study for improvements to the population screening for cervical cancer [in Dutch]. Bilthoven: Rijksinstituut voor Volksgezondheid en Milieu (RIVM); 2013.","Author mistake","E. Brouwer missing, year is incorrect should be 2014."
"PMC6966789.pdf","pre.zip/PMC6966789.pdf","57","58","not_found","Government A. National statement on ethical conduct in human research (2007)—updated May 2015. In: Council NHaMR, editor 2015.","Author mistake","Should be Australian Government"
"PMC7011529.pdf","pre.zip/PMC7011529.pdf","34","35","not_found","World Health Organisation. Guidelines for managing advanced HIV disease and rapid initiation of antiretroviral therapy. In: Guidelines for Managing Advanced HIV Disease and Rapid Initiation of Antiretroviral Therapy. edn. Geneva; 2017.","Missing part of title/reference","title is repeated"
"PMC7199339.pdf","pre.zip/PMC7199339.pdf","8","9","not_found","National Institute for Health and Care Excellence: The clinical management of primary hypertension in adults: clinical guideline 127. 2011.","Reference generator format mistake","format error"
"PMC7360473.pdf","pre.zip/PMC7360473.pdf","16","17","not_found","Schuler A, Habermann C, Plosa J, et al. Age-related expression of SARS-CoV-2 primining protease TMPRSS2 in the developing lung. 2020. https://doi. org/10.1101/2020.05.22.111187 bioRxiv preprint doi: https://doi.org/10.1101/ 2020.05.22.111187.","Typo","Primining should be priming"
"PMC7542948.pdf","pre.zip/PMC7542948.pdf","7","8","not_found","Molenaar PCM. A manifesto on psychology as idiographic science: bringing the person back into scientific psychology. Time Forever Measurement. 2009;2:219–47.","Reference generator format mistake","Time Forever Measurement part not found online"
"PMC7667802.pdf","pre.zip/PMC7667802.pdf","10","11","not_found","Bellis MA, Huhhes K, Perkins C, Bennett A. Protecting people, promoting health: a public health approach to violence prevention for England. Liverpool: Centre for Public Health; 2012.","Author mistake","Huhhes should be Hughes"
"PMC7667802.pdf","pre.zip/PMC7667802.pdf","28","29","not_found","Scottish Government. Delivering for today, investing for tomorrow: the Government’s programme for Scotland 2018–2918. Edinburgh: The Scottish Government; 2018.","Typo","2918"
"PMC7667802.pdf","pre.zip/PMC7667802.pdf","49","50","not_found","Messman-Moore T, Coates AA. The impact of childhood trauma on adult interpersonal cibfklict: the role of early maladaptive schemas and patterns of interpersonal behavior. J Emot Abus. 2007;7:75–92.","Typo","cibfklict"
"PMC7672821.pdf","pre.zip/PMC7672821.pdf","16","17","not_found","La BB, Miasojedow Z, And EM, Vihola M. Adaptive Parallel Tempering Algorithm; 2012.","Author mistake","La BB and And EM"
"PMC7791645.pdf","pre.zip/PMC7791645.pdf","18","19","not_found","Pletcher. Model fittiing and hypothesis testing for age specific data. J Evol Biol. 2001;12:430–9.","Typo","fittiing"
"PMC9082871.pdf","pre.zip/PMC9082871.pdf","30","31","not_found","The East Africa Trachoma/NTD Cross-border Partnership. East Africa NTD/Trachoma Cross Border Partnership. Fourth Annual Meeting. . 2018.","Missing part of title/reference","no author and title in double"
"PMC6878715.pdf","pre.zip/PMC6878715.pdf","20","21","mismatch","De Onis M, Onyango AW, Borghi E, Siyam A, Siekmann J. Development of a WHO growth reference for school-aged children and adolescents. Bull World Health Organ. 2007;043497:660–7. https://doi.org/10.2471/BLT.","Author mistake","missing an author "
"PMC7057596.pdf","pre.zip/PMC7057596.pdf","31","32","mismatch","Hawcroft C, Hughes R, Shaheen A, Usta J, Elkadi H, Dalton T, Feder G. Prevalence and health outcomes of domestic violence amongst clinical populations in Arab countries: a systematic review and meta-analysis. BMC Public Health. 2019;19(1):315. https://doi.org/10.1186/s12889-019-6619-2.","Author mistake","missing an author"
"PMC7315698.pdf","pre.zip/PMC7315698.pdf","11","12","mismatch","Cochrane. Cochrane handbook for systematic reviews of interventions. 5.1.0 ed. Cochrane, editor 2011.","Author mistake","None of the authors are listed"
"PMC7652677.pdf","pre.zip/PMC7652677.pdf","26","27","mismatch","Turner S. Major system change: a management and organisational research perspective. In: Rosalind Raine, Ray Fitzpatrick, Helen Barratt, Gywn Bevan, Nick Black, Ruth Boaden, et al. Challenges, solutions and future directions in the evaluation of service innovations in health care and public health. Health Serv Deliv Res. 2016;4(16) 2016. https://doi.org/10.3310/hsdr04160.","Reference generator format mistake","author and start title is mixed"
"PMC8569998.pdf","pre.zip/PMC8569998.pdf","44","45","mismatch","Shkolnikov VM, Leon AC, Adamets S, Andreev E, Deev AD. Educational Level and Adult Mortality in Russia: An Analysis of Routine Data 1979 to 1994. Soc Sci Med. 1998;47(3):357–69. https://doi.org/10.1016/S0277-9536(98)00096-3.","Author mistake",""
"PMC8629597.pdf","pre.zip/PMC8629597.pdf","15","16","mismatch","Caro JJ, Briggs AH, Siebert U, Kuntz KM, Force I-SMGRPT. Modeling good research practices–overview: a report of the ISPOR-SMDM Modeling Good Research Practices Task Force-1. Med Decis Mak Int J Soc Med Decis Mak. 2012;32(5):667–77. https://doi.org/10.1177/0272 989X12454577.","Author mistake","Force I-SMGRPT should not be there"
"PMC8904165.pdf","pre.zip/PMC8904165.pdf","56","57","mismatch","Wootton JCJC. Non-globular domains in protein sequences: auto‑ mated segmentation using complexity measures. Comput Chem. 1994;18(3):269–85.","Author mistake",""
"PMC7218575.pdf","pre.zip/PMC7218575.pdf","16","17","not_found","Guo C, Zhang Z, Lau AKH, Lin CQ, Chuang YC, Chan J, Jiang WK, Tam T, Yeoh E-K, Chan T-C, et al. Long-term exposure to fine particulate matter, lung function decline, and risk of chronic obstructive pulmonary disease. Lancet Planetary Health. 2018;2(3):12.","Typo",""
"PMC8097782.pdf","pre.zip/PMC8097782.pdf","2","3","not_found","Cheng et al. BMC Medicine (2021) 19:114 https://doi.org/10.1186/s12916-021-01976-9","Missing part of title/reference","No title"
"PMC8907007.pdf","pre.zip/PMC8907007.pdf","43","44","not_found","Public Health Wales. Rubella, Wales Measles and Elimination Task Group: Action Plan 2019-2021. 2021.","Typo","Rubella should be after wales measles"
"PMC9040206.pdf","pre.zip/PMC9040206.pdf","19","20","not_found","National Registry of Diseases Office N: Singapore Cancer Registry Annual Registry Report 2015. 2017.","Typo","Random N"
"PMC9367078.pdf","pre.zip/PMC9367078.pdf","10","11","not_found","Foods Standards Agency. National diet and nutrition survey: headline results from Years 1 and 2 (combined) of the Rolling Programme (2009/2009 - 2009/10). 2012.","Typo","wrong years and should be Food"
"PMC9394016.pdf","pre.zip/PMC9394016.pdf","37","38","not_found","Raith EP, Udy AA, Bailey M, McGloughlin S, MacIsaac C, Bellomo R, Pilcher DV. Australian, New Zealand Intensive Care Society Centre for O, Resource E: Prognostic Accuracy of the SOFA Score, SIRS Criteria, and qSOFA score for in-hospital mortality among adults with suspected infection admitted to the intensive care unit. JAMA. 2017;317(3):290–300.","",""
"PMC9623908.pdf","pre.zip/PMC9623908.pdf","63","64","not_found","European Parlament, Council of the European Union. Regulation (EC) No 1331/2008 of the European Parliament and of the Council of 16 December 2008 establishing a common authorisation procedure for food additives, food enzymes and food flavourings: L 354/1. 2008.","Typo",""
