Paper,Filename,RefIndex,RefNum,PredictedStatus,RawCitation,ReviewCategory,ReviewNote
PMC6330753.pdf,pre.zip/PMC6330753.pdf,38,39,not_found,"Flynn AC, Dalrymple K, Barr S, Poston L, Goff LM, Rogozińska E, et al. Dietary interventions in overweight and obese pregnant women: a systematic Kunath et al. BMC Medicine (2019) 17:5 Page 12 of 13 review of the content, delivery, and outcomes of randomized controlled trials. Nutr Rev. 2016;74:312–28.",,
PMC6376798.pdf,pre.zip/PMC6376798.pdf,96,97,not_found,"Bond V, Chase E, Aggleton P, Stigma HIV. AIDS and prevention of mother-to-child transmission in Zambia. Eval Program Planning. 2002;25(4):347–56.",,
PMC6394073.pdf,pre.zip/PMC6394073.pdf,34,35,not_found,"Stanmore EK, Skelton DA, Todd C. Acceptability and usability of Exergames designed to improve function in older people. The Gerontologist. 2015; 55(Suppl 2):772–3.",,
PMC6394073.pdf,pre.zip/PMC6394073.pdf,38,39,not_found,"Williams SL, French DP. What are the most effective physical activity self-efficacy and physical activity behaviour intervention techniques for changing-and are they the same? Health Educ Res. 2011;26:308–22.",,
PMC6394073.pdf,pre.zip/PMC6394073.pdf,70,71,not_found,"Rothman, K. J., and J. D. Boice, Jr. 1982. Epidemiologic analysis with a programmable calculator. Brookline, MA: epidemiology resources”. For the IRR estimation and “Greenland, S., and J. M. Robins. 1985. Estimation of a common effect parameter from sparse follow-up data. Biometrics 41: 55–68.",,
PMC6394073.pdf,pre.zip/PMC6394073.pdf,78,79,not_found,National Institute for Health and Care Excellence (NICE). Guide to the process of technology appraisal. London: NICE; 2018. p. 2018.,,
PMC6402102.pdf,pre.zip/PMC6402102.pdf,1,2,not_found,"Alpern ER, Henretig FM, Fever, Fleisher GR, Ludwg S. Textbook of paediatric emergency medicine. 5th ed. Philadelphia: Lippincott Williams and Wilkins; 2006. p. 295–306.",,
PMC6429790.pdf,pre.zip/PMC6429790.pdf,10,11,not_found,"Katherine JH, Natalie S, Julia A-H. End-of-life care and achieving preferences for place of death in England: results of a population-based survey using the VOICES-SF questionnaire. Palliat Med. 2013;28(5):412–21. https://doi.org/ 10.1177/0269216313512012.",,
PMC6436239.pdf,pre.zip/PMC6436239.pdf,78,79,not_found,Mackey TK. Prevalence of falsified and substandard medicines: still an incomplete picture. JAMA Netw Open. 2018;1(4):e181685. https://doi.org/10. 1001/jamanetworkopen.2018.1685.,,
PMC6505277.pdf,pre.zip/PMC6505277.pdf,10,11,not_found,"Wensing M, Grol R. Implementatie: Effectieve verandering in de patiëntenzorg. Zevende Druk. [effective change in patient care. 7th edition.] Houten: Boom Stafleu Van Loghum, 2017.",,
