Filename,RefIndex,RefNum,Title,PredictedStatus,ManualLabel
"post.zip/abbas23a.pdf","26","27","Efficient and robust approximate nearest neighbor search using hierarchical navigable small world graphs","mismatch","real"
"post.zip/abbas23a.pdf","0","1","Combinatorial optimization for panoptic segmentation: A fully differentiable approach","verified",""
"post.zip/abbas23a.pdf","1","2","RAMA: A Rapid Multicut Algorithm on GPU","verified",""
"post.zip/abbas23a.pdf","2","3","K-means++: The advantages of careful seeding","verified",""
"post.zip/abbas23a.pdf","3","4","GASP, a Generalized Framework for Agglomerative Clustering of Signed Graphs and Its Application to Instance Segmentation","verified",""
"post.zip/abbas23a.pdf","5","6","Cut, glue & cut: A fast, approximate solver for multicut partitioning","verified",""
"post.zip/abbas23a.pdf","6","7","Fusion moves for correlation clustering","verified",""
"post.zip/abbas23a.pdf","7","8","An empirical study of training self-supervised vision transformers","verified",""
"post.zip/abbas23a.pdf","9","10","The cityscapes dataset for semantic urban scene understanding","verified",""
"post.zip/abbas23a.pdf","10","11","Correlation clustering in general weighted graphs","verified",""
"post.zip/abbas23a.pdf","11","12","Imagenet: A large-scale hierarchical image database","verified",""
"post.zip/abbas23a.pdf","12","13","Clique-web facets for multicut polytopes","verified",""
"post.zip/abbas23a.pdf","13","14","Weighted graph cuts without eigenvectors a multilevel approach","verified",""
"post.zip/abbas23a.pdf","14","15","Facets of the clique partitioning polytope","verified",""
"post.zip/abbas23a.pdf","15","16","Deep residual learning for image recognition","verified",""
"post.zip/abbas23a.pdf","17","18","The latest research progress on spectral clustering","verified",""
"post.zip/abbas23a.pdf","18","19","Billion-scale similarity search with GPUs","verified",""
"post.zip/abbas23a.pdf","19","20","Solving minimum cost lifted multicut problems by node agglomeration","verified",""
"post.zip/abbas23a.pdf","20","21","Differentiable graph module (dgm) for graph convolutional networks","verified",""
"post.zip/abbas23a.pdf","21","22","Efficient decomposition of image and mesh graphs by lifted multicuts","verified",""
"post.zip/abbas23a.pdf","22","23","Instancecut: from edges to instances with multicut","verified",""
"post.zip/abbas23a.pdf","23","24","Partial optimality and fast lower bounds for weighted correlation clustering","verified",""
"post.zip/abbas23a.pdf","24","25","A comparative study of local search algorithms for correlation clustering","verified",""
"post.zip/abbas23a.pdf","25","26","Least squares quantization in pcm","verified",""
"post.zip/abbas23a.pdf","27","28","The vector partition problem for convex objective functions","verified",""
"post.zip/abbas23a.pdf","28","29","The clique partitioning problem: facets and patching facets","verified",""
"post.zip/abbas23a.pdf","29","30","Parallel correlation clustering on big graphs","verified",""
"post.zip/abbas23a.pdf","30","31","Scikitlearn: Machine learning in Python","verified",""
"post.zip/abbas23a.pdf","31","32","An efficient clustering algorithm based on the k-nearest neighbors with an indexing ratio","verified",""
"post.zip/abbas23a.pdf","32","33","A randomized algorithm for enumerating zonotope vertices","verified",""
"post.zip/abbas23a.pdf","33","34","A message passing algorithm for the minimum cost multicut problem","verified",""
"post.zip/abbas23a.pdf","34","35","Structured prediction problem archive","verified",""
