Paper,Filename,RefIndex,RefNum,PredictedStatus,RawCitation,ReviewCategory,ReviewNote
"jiang23c.pdf","post.zip/jiang23c.pdf","27","28","not_found","Li, Z. and Zhu, Z. A survey of deep causal model. arXiv preprint arXiv:2209.08860, 2022.","Author mistake","Author missing, incomplete title"
"shirahmad-gale-bagi23a.pdf","post.zip/shirahmad-gale-bagi23a.pdf","19","20","not_found","Liu, Y., Cadei, R., Schweizer, J., Bahmani, S., and Alahi, A. Towards robust and adaptive motion forecasting: A causal representation perspective. In IEEE/CVF Conference on Computer Vision and Pattern Recognition, CVPR 2022, New Orleans, LA, USA, June 18-24, 2022, pp. 17060– 17071. IEEE, 2022. doi: 10.1109/CVPR52688.2022. 01657.","Reference generator format mistake","Conference part of the reference does not show up online"
"ma24q.pdf","post.zip/ma24q.pdf","29","30","not_found","Li, X., Wang, Z., and Xie, C. Clipa-v2: Scaling clip training with 81.1arXiv preprint arXiv:2306.15658, 2023b","Missing part of title/reference","title stops after 81.1"
"tang25j.pdf","post.zip/tang25j.pdf","12","13","mismatch","Computer, T. Redpajama: an open dataset for training large language models, 2023. URL https://github. com/togethercomputer/RedPajama-Data.","Author mistake","Together Computer is the company, bu this has genuin authors. Given bibtex cites these authors as well, no the company."
"zhu25j.pdf","post.zip/zhu25j.pdf","12","13","mismatch","DC, V. E., SM, S., DM, B., TE, B., E, Y., K, U., and WU-Minn HCP Consortium. The wu-minn human connec-tome project: an overview, 2013.","Author mistake","Weird abreviations of the author names"
"zhu25j.pdf","post.zip/zhu25j.pdf","28","29","mismatch","Kerstin, H., Teresa, K., Erich, K., P., R. M., K., S. D., Thomas, P., and Florian, K. Learning a variational network for reconstruction of accelerated mri data. Magnetic Resonance in Medicine, 79(6):3055–3071. doi: 10.1002/mrm.26977. URL https://onlinelibrary. wiley.com/doi/abs/10.1002/mrm.26977.","Author mistake","Weird abreviations of the author names"
"chen23aj.pdf","post.zip/chen23aj.pdf","43","44","not_found","Minh, H. and Carl, K. Neurips 2021, workshop on new frontiers in federated learning. In Personalized neural architecture search for federated learning, 2021","Reference generator format mistake","Mix up in conference and title"
"hu23g.pdf","post.zip/hu23g.pdf","27","28","mismatch","MacKay, D. J., Mac Kay, D. J., et al. Information theory, inference and learning algorithms. Cambridge university press, 2003","Author mistake","repeated author"
"pooladian23b.pdf","post.zip/pooladian23b.pdf","40","41","not_found","Gunsilius, F. and Xu, Y. Matching for causal effects via multimarginal optimal transport. arXiv preprint arXiv:2112.04398, 2021.","Missing part of title/reference","word ""unbalanced"" missing"
"rugamer23a.pdf","post.zip/rugamer23a.pdf","11","12","not_found","Fritz, C., Dorigatti, E., and Rügamer, D. Combining graph neural networks and spatiotemporal disease models to predict covid-19 cases in germany. Scientific Reports, 12: 2045–2322, 2022.","Missing part of title/reference","word ""predict"" should be ""improve"""
"rugamer23a.pdf","post.zip/rugamer23a.pdf","23","24","not_found","Ortigosa, I., Lopez, R., and Garcia, J. A neural networks approach to residuary resistance of sailing yachts prediction. In Proceedings of the international conference on marine engineering MARINE, volume 2007, pp. 250, 2007.","Paper not found","Paper not found"
"jordan24a.pdf","post.zip/jordan24a.pdf","42","43","not_found","Smith, J. Re-evaluate: Reproducibility in evaluating reinforcement learning algorithms. In 2nd Reproducibility in Machine Learning Workshop, 2018.","Author mistake","Not by Smith J."
"kang24b.pdf","post.zip/kang24b.pdf","13","14","not_found","Dooley, J. The archival advantage: Integrating archival expertise into management of born-digital library materials. Archival Science Special Issue on Archiving Research Data, 7(1), March 2007.","Typo","Incorrect year"
"lu24e.pdf","post.zip/lu24e.pdf","90","91","mismatch","Together. Redpajama: an open dataset for training large language models, october 2023. URL https://github.com/ togethercomputer/RedPajama-Data.","Author mistake","Together Computer is the company, bu this has genuin authors. Given bibtex cites these authors as well, no the company."
"zhang24o.pdf","post.zip/zhang24o.pdf","55","56","not_found","Schulman, J., Zoph, B., Kim, C., Hilton, J., Menick, J., Weng, J., Uribe, J. F. C., Fedus, L., Metz, L., Pokorny, M., et al. Chatgpt: Optimizing language models for dialogue. OpenAI blog, 2022.","Author mistake","Author is OpenAI"
"zhao24a.pdf","post.zip/zhao24a.pdf","71","72","not_found","Fitzpatrick, T. Sun and skin. Journal de Medecine Esthe-tique, 2:33–34, 1975.","Author mistake","Not by Fitzpatrick T."
"zhao24i.pdf","post.zip/zhao24i.pdf","43","44","not_found","Schulman, J., Zoph, B., Kim, C., Hilton, J., Menick, J., Weng, J., Uribe, J. F. C., Fedus, L., Metz, L., Pokorny, M., et al. Chatgpt: Optimizing language models for dialogue. OpenAI blog, 2022.","Author mistake","Author is OpenAI"
"deng25f.pdf","post.zip/deng25f.pdf","23","24","not_found","Brand, J. v. D., Song, Z., and Weng, A. Subquadratic space representation of flows. In arxiv preprint, 2025","Paper not found","Paper not found"
"lee25ak.pdf","post.zip/lee25ak.pdf","11","12","not_found","Foundation, W. Shared task: Machine translation of news. Association for Computational Linguistics Conference on Machine Translation, 2019","Paper not found","Paper not found"
"liew25a.pdf","post.zip/liew25a.pdf","12","13","mismatch","Computer, T. Redpajama: an open dataset for training large language models, October 2023. URL https://github.com/togethercomputer/ RedPajama-Data.","Author mistake","Together Computer is the company, bu this has genuin authors. Given bibtex cites these authors as well, no the company."
"lin25b.pdf","post.zip/lin25b.pdf","23","24","not_found","Thomas, N. K. and Welling, M. Variational graph autoencoders. In Advances in Neural Information Processing Systems Workshop on Bayesian Deep Learning, pp. 1–3, 2016.","Reference generator format mistake","Conference seems to be incorrect."
"wang25di.pdf","post.zip/wang25di.pdf","9","10","not_found","Dekking, F. M., Kraaikamp, C., Lopuhaä, H. P., and Meester, L. E. A Modern Introduction to Probability and Statistics: Understanding why and how. Springer Science & Business Media, 2006.","Missing part of title/reference","Year is incorrect."
